DAY,Section,ROOM1,11-12,ROOM2,12-1,ROOM3,1-2,ROOM4,3-4,ROOM5,4-5
WED,ML_CS-6,X,X,X,X,X,X,X,X,X,X
WED,ML_CS-7,X,X,C-LH-202,ML(DE),X,X,X,X,X,X
WED,ML_CS-8,X,X,X,X,X,X,X,X,X,X
WED,ML_CS-9,X,X,X,X,X,X,X,X,X,X
WED,ML_CS-10,X,X,X,X,X,X,X,X,X,X
WED,ML_CS-11,X,X,X,X,X,X,X,X,X,X
WED,ML_CS-12,X,X,X,X,X,X,X,X,X,X
WED,ML_CS-13,X,X,X,X,X,X,X,X,X,X
WED,ML_CS-14,X,X,C-LH-203,ML(DE),X,X,X,X,X,X
WED,IOT_CS-1,X,X,X,X,X,X,X,X,X,X
WED,IOT_CS-2,X,X,X,X,X,X,X,X,X,X
WED,IOT_CS-3,X,X,X,X,X,X,X,X,X,X
WED,IOT_CS-4,X,X,X,X,X,X,X,X,X,X
WED,IOT_CS-5,X,X,X,X,X,X,X,X,X,X
WED,IOT_CS-6,X,X,C-LH-403,IOT(DE),X,X,X,X,X,X
WED,NLP_CS-1,X,X,X,X,C-LH-404,NLP(DE),X,X,X,X
WED,NLP_CS-2,C-LH-201,NLP(DE),X,X,X,X,X,X,X,X
WED,NLP_CS-3,C-LH-202,NLP(DE),X,X,X,X,X,X,X,X
WED,DA_CS-1,X,X,X,X,C-LH-405,DA(DE),X,X,X,X
WED,DA_CS-2,C-LH-203,DA(DE),X,X,X,X,X,X,X,X
WED,DA_CS-3,X,X,X,X,C-LH-201,DA(DE),X,X,X,X
WED,DA_CS-4,C-LH-301,DA(DE),X,X,X,X,X,X,X,X
WED,DA_CS-5,X,X,X,X,C-LH-202,DA(DE),X,X,X,X
WED,DA_CS-6,X,X,X,X,C-LH-203,DA(DE),X,X,X,X
WED,DA_CS-7,X,X,X,X,C-LH-301,DA(DE),X,X,X,X
WED,DA_CS-8,C-LH-302,DA(DE),X,X,X,X,X,X,X,X
WED,DA_CS-9,X,X,X,X,C-LH-302,DA(DE),X,X,X,X
WED,DA_CS-10,X,X,X,X,C-LH-303,DA(DE),X,X,X,X
WED,DA_CS-11,X,X,X,X,C-LH-401,DA(DE),X,X,X,X
WED,DA_CS-12,C-LH-303,DA(DE),X,X,X,X,X,X,X,X
WED,DA_CS-13,C-LH-401,DA(DE),X,X,X,X,X,X,X,X
WED,DA_CS-14,C-LH-002,DA(DE),X,X,X,X,X,X,X,X
WED,DA_CS-15,X,X,X,X,C-LH-003,DA(DE),X,X,X,X
WED,DA_CS-16,C-LH-004,DA(DE),X,X,X,X,X,X,X,X
WED,DA_CS-17,C-LH-204,DA(DE),X,X,X,X,X,X,X,X
,,,,,,,,,,,
THU,ML_CS-1,X,X,X,X,X,X,X,X,C-LH-404,ML(DE)
THU,ML_CS-2,X,X,X,X,X,X,X,X,C-LH-405,ML(DE)
THU,ML_CS-3,X,X,X,X,X,X,C-LH-203,ML(DE),X,X
THU,ML_CS-4,X,X,X,X,X,X,X,X,C-LH-201,ML(DE)
THU,ML_CS-5,X,X,X,X,X,X,C-LH-301,ML(DE),X,X
THU,ML_CS-6,X,X,X,X,X,X,C-LH-302,ML(DE),X,X
THU,ML_CS-7,X,X,X,X,X,X,X,X,C-LH-202,ML(DE)
THU,ML_CS-8,X,X,X,X,X,X,C-LH-303,ML(DE),X,X
THU,ML_CS-9,X,X,X,X,X,X,C-LH-401,ML(DE),X,X
THU,ML_CS-10,X,X,X,X,X,X,C-LH-002,ML(DE),X,X
THU,ML_CS-11,X,X,X,X,X,X,C-LH-003,ML(DE),X,X
THU,ML_CS-12,X,X,X,X,X,X,C-LH-004,ML(DE),X,X
THU,ML_CS-13,X,X,X,X,X,X,C-LH-204,ML(DE),X,X
THU,ML_CS-14,X,X,X,X,X,X,X,X,C-LH-203,ML(DE)
THU,IOT_CS-1,X,X,X,X,X,X,C-LH-403,IOT(DE),X,X
THU,IOT_CS-2,X,X,X,X,X,X,C-LH-404,IOT(DE),X,X
THU,IOT_CS-3,X,X,X,X,X,X,C-LH-405,IOT(DE),X,X
THU,IOT_CS-4,X,X,X,X,X,X,C-LH-201,IOT(DE),X,X
THU,IOT_CS-5,X,X,X,X,X,X,C-LH-202,IOT(DE),X,X
THU,IOT_CS-6,X,X,X,X,X,X,X,X,C-LH-403,IOT(DE)
THU,NLP_CS-1,X,X,X,X,X,X,X,X,X,X
THU,NLP_CS-2,X,X,X,X,X,X,X,X,X,X
THU,NLP_CS-3,X,X,X,X,X,X,X,X,X,X
THU,DA_CS-1,X,X,X,X,X,X,X,X,X,X
THU,DA_CS-2,X,X,X,X,X,X,X,X,X,X
THU,DA_CS-3,X,X,X,X,X,X,X,X,X,X
THU,DA_CS-4,X,X,X,X,X,X,X,X,X,X
THU,DA_CS-5,X,X,X,X,X,X,X,X,X,X
THU,DA_CS-6,X,X,X,X,X,X,X,X,X,X
THU,DA_CS-7,X,X,X,X,X,X,X,X,X,X
THU,DA_CS-8,X,X,X,X,X,X,X,X,X,X
THU,DA_CS-9,X,X,X,X,X,X,X,X,X,X
THU,DA_CS-10,X,X,X,X,X,X,X,X,X,X
THU,DA_CS-11,X,X,X,X,X,X,X,X,X,X
THU,DA_CS-12,X,X,X,X,X,X,X,X,X,X
THU,DA_CS-13,X,X,X,X,X,X,X,X,X,X
THU,DA_CS-14,X,X,X,X,X,X,X,X,X,X
THU,DA_CS-15,X,X,X,X,X,X,X,X,X,X
THU,DA_CS-16,X,X,X,X,X,X,X,X,X,X
THU,DA_CS-17,X,X,X,X,X,X,X,X,X,X
,,,,,,,,,,,
FRI,ML_CS-1,X,X,X,X,X,X,X,X,X,X
FRI,ML_CS-2,X,X,X,X,X,X,X,X,X,X
FRI,ML_CS-3,X,X,C-LH-203,ML(DE),X,X,X,X,X,X
FRI,ML_CS-4,X,X,X,X,X,X,X,X,X,X
FRI,ML_CS-5,X,X,C-LH-301,ML(DE),X,X,X,X,X,X
FRI,ML_CS-6,X,X,C-LH-302,ML(DE),X,X,X,X,X,X
