DAY,Section,ROOM1,8-9,9-10,10-11,ROOM2,11-12,12-1,1-2,2-3,3-4,4-5,5-6
FRI,CSE-13,C-LH-205,X,SPM,CC,---,X,X,X,X,X,X,X
,,,,,,,,,,,,,
MON,CSE-14,C-WL-302,CC,CC(L),CC(L),C-LH-207,SPM,X,X,X,X,X,X
TUE,CSE-14,C-LH-205,X,X,SPM,C-LH-207,CD,X,X,X,X,X,X
WED,CSE-14,C-LH-207,X,CC,CD,---,X,X,X,X,X,X,X
THU,CSE-14,C-WL-202,TTL,T&T(L),T&T(L),C-LH-207,CC,X,X,X,X,X,X
FRI,CSE-14,C-LH-206,X,CD,SPM,---,X,X,X,X,X,X,X
,,,,,,,,,,,,,
MON,CSE-15,C-LH-207,X,X,SPM,C-LH-208,CD,CC,X,X,X,X,X
TUE,CSE-15,C-LH-206,X,X,SPM,C-WL-301,CC,CC(L),CC(L),X,X,X,X
WED,CSE-15,C-LH-208,X,CD,CC,---,X,X,X,X,X,X,X
THU,CSE-15,C-LH-304,TTL,T&T(L),T&T(L),C-LH-208,X,X,X,X,X,X,X
FRI,CSE-15,C-WL-302,X,CD,SPM,---,X,X,X,X,X,X,X
,,,,,,,,,,,,,
MON,CSE-16,C-WL-401,TTL,T&T(L),T&T(L),C-LH-304,CC,SPM,X,X,X,X,X
TUE,CSE-16,C-LH-207,SPM,CC,CD,---,X,X,X,X,X,X,X
WED,CSE-16,C-LH-304,SPM,CD,X,---,X,X,X,X,X,X,X
THU,CSE-16,---,X,X,X,C-LH-304,CD,X,X,X,X,X,X
FRI,CSE-16,C-WL-401,CC,CC(L),CC(L),---,X,X,X,X,X,X,X
,,,,,,,,,,,,,
MON,CSE-17,---,X,X,X,C-LH-305,CC,CD,SPM,X,X,X,X
TUE,CSE-17,C-WL-401,TTL,T&T(L),T&T(L),C-LH-208,SPM,CC,X,X,X,X,X
WED,CSE-17,C-LH-305,X,X,CD,---,X,X,X,X,X,X,X
THU,CSE-17,C-LH-305,X,X,X,C-WL-301,CC,CC(L),CC(L),X,X,X,X
FRI,CSE-17,C-LH-207,X,CD,SPM,---,X,X,X,X,X,X,X
,,,,,,,,,,,,,
MON,CSE-18,C-LH-208,X,CD,SPM,C-LH-306,CC,X,X,X,X,X,X
TUE,CSE-18,C-LH-208,X,CC,CD,C-LH-304,SPM,X,X,X,X,X,X
WED,CSE-18,C-WL-401,TTL,T&T(L),T&T(L),---,X,X,X,X,X,X,X
THU,CSE-18,---,X,X,X,C-LH-305,CD,SPM,X,X,X,X,X
FRI,CSE-18,C-WL-402,CC,CC(L),CC(L),---,X,X,X,X,X,X,X
,,,,,,,,,,,,,
MON,CSE-19,---,X,X,X,C-WL-302,CC,CC(L),CC(L),X,X,X,X
TUE,CSE-19,C-LH-304,X,X,SPM,C-LH-305,CD,X,X,X,X,X,X
WED,CSE-19,C-LH-306,X,CD,CC,---,X,X,X,X,X,X,X
THU,CSE-19,C-WL-301,TTL,T&T(L),T&T(L),C-LH-306,CC,SPM,X,X,X,X,X
FRI,CSE-19,C-LH-208,X,CD,SPM,---,X,X,X,X,X,X,X
,,,,,,,,,,,,,
MON,CSE-20,C-LH-304,X,CC,SPM,C-LH-307,CD,X,X,X,X,X,X
TUE,CSE-20,C-WL-402,TTL,T&T(L),T&T(L),C-LH-306,SPM,X,X,X,X,X,X
WED,CSE-20,C-LH-307,X,X,SPM,---,X,X,X,X,X,X,X
THU,CSE-20,C-LH-306,X,X,CD,C-WL-302,CC,CC(L),CC(L),X,X,X,X
FRI,CSE-20,C-LH-304,X,CD,CC,---,X,X,X,X,X,X,X
,,,,,,,,,,,,,
MON,CSE-21,C-LH-308,X,X,SPM,C-LH-308,CD,X,X,X,X,X,X
TUE,CSE-21,C-LH-305,X,CD,SPM,C-LH-307,CC,X,X,X,X,X,X
WED,CSE-21,C-WL-402,CC,CC(L),CC(L),---,X,X,X,X,X,X,X
THU,CSE-21,C-WL-402,TTL,T&T(L),T&T(L),C-LH-307,CD,SPM,X,X,X,X,X
FRI,CSE-21,C-LH-305,X,X,CC,---,X,X,X,X,X,X,X
,,,,,,,,,,,,,
MON,CSE-22,C-LH-305,X,SPM,CD,C-WL-401,CC,CC(L),CC(L),X,X,X,X
TUE,CSE-22,---,X,X,X,C-LH-308,CD,CC,X,X,X,X,X
WED,CSE-22,C-LH-308,X,X,CC,---,X,X,X,X,X,X,X
THU,CSE-22,C-WL-302,TTL,T&T(L),T&T(L),C-LH-308,SPM,CD,X,X,X,X,X
FRI,CSE-22,C-LH-306,X,X,SPM,---,X,X,X,X,X,X,X
